Year,Catch
1991,1195663.93
1992,1390309.16
1993,1326608.96
1994,1329351.66
1995,1264246.89
1996,1192781.09
1997,1124433.05
1998,1102159.14
1999,989680.31
2000,1132709.85
2001,1387197.02
2002,1480776.11
2003,1490779.227
2004,1480551.669
2005,1483021.809
2006,1488031.045
2007,1354501.789
2008,990578.068
2009,810784.346
2010,810185.7613
2011,1199031.14
2012,1205214.376
2013,1270760.373
2014,1297417.183
2015,1321573.704
2016,1352681.133
2017,1359180.651
2018,1379287.814
2019,1409346.415
2020,1367235.816
2021,1376257.712
2022,1105418.526
2023,1310592.031
2024,1311260.74
2025,1326192.225